Name,SMILES,MW
paclitaxel,CC1=C2[C@@]([C@]([C@H]([C@@H]3[C@]4([C@H](OC4)C[C@@H]([C@]3(C(=O)[C@@H]2OC(=O)C)C)O)OC(=O)C)OC(=O)c5ccccc5)(C[C@@H]1OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)O)(C)C,853.918
perphenazine,Clc2cc1N(c3c(Sc1cc2)cccc3)CCCN4CCN(CCO)CC4,403.979
pimaricin,NC1C(C(OC(C1O)C)OC4CC2OC(CC(C2C(=O)O)O)(CC(CC3OC3C=CC(=O)OC(CC=CC=CC=CC=C4)C)O)O)O,665.733
pimozide,Fc1ccc(cc1)C(c2ccc(F)cc2)CCCN5CCC(N4c3ccccc3NC4=O)CC5,461.556
podophyllotoxin,COc1cc(cc(c1OC)OC)[C@@H]2c3cc4c(cc3[C@@H]([C@@H]5[C@@H]2C(=O)OC5)O)OCO4,414.41
prednisolone acetate,OC4(C1(C(C3C(C(C1)O)C2(C(=CC(=O)C=C2)CC3)C)CC4)C)C(=O)COC(=O)C,402.487
prednisolone-21-trimethylacetate,OC4(C1(C(C3C(C(C1)O)C2(C(=CC(=O)C=C2)CC3)C)CC4)C)C(=O)COC(=O)C(C)(C)C,444.568
"propan-2-yl 2,2-bis(4-bromophenyl)-2-hydroxyacetate",Brc1ccc(cc1)C(O)(c2ccc(cc2)Br)C(=O)OC(C)C,428.12
puerarin,O=C2c3c(O/C=C2/c1ccc(O)cc1)c(c(O)cc3)[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO,416.382
raffinose,O1C(C(C(C1CO)O)O)(OC2OC(C(C(C2O)O)O)COC3OC(C(C(C3O)O)O)CO)CO,504.438
rifampin,CN1CCN(CC1)/N=C/c2c(O)c3c5C(=O)[C@@]4(C)O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)C(=O)Nc2c(O)c3c(O)c(C)c5O4,822.953
rifapentine,Cc1c(c2c3c4c1O[C@@](C4=O)(O/C=C/[C@@H]([C@@H]([C@H]([C@@H]([C@H]([C@@H]([C@@H]([C@@H](/C=C/C=C(/C(=O)NC(=C2O)/C(=C\NN5CCN(CC5)C6CCCC6)/C3=O)\C)C)O)C)O)C)OC(=O)C)C)OC)C)O,877.045
rolitetracycline,N1(CCCC1)CNC(=O)C5=C(C(C4CC3C(c2c(c(ccc2)O)C(=O)C3=C(C4(C5=O)O)O)(O)C)N(C)C)O,527.574
rutin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3c(=O)c4c(cc(cc4oc3c5ccc(c(c5)O)O)O)O)O)O)O)O)O)O,610.521
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,418.574
terfenadine,OC(c1ccccc1)(c2ccccc2)C4CCN(CCCC(O)c3ccc(cc3)C(C)(C)C)CC4,471.685
testosterone phenylacetate,O=C5\C=C4/C(C3CCC2(C(CCC2OC(=O)Cc1ccccc1)C3CC4)C)(C)CC5,406.566
testosterone phenylbutanoate,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4=CC=CC=C4)CCC5=CC(=O)CC[C@]35C,420.593
testosterone phenylpropionate,O=C5\C=C3/[C@]([C@H]2CC[C@@]4([C@@H](OC(=O)CCc1ccccc1)CC[C@H]4[C@@H]2CC3)C)(C)CC5,420.593
thymol Iodide Purified,IOc1cc(c(cc1C(C)C)c2cc(c(OI)cc2C)C(C)C)C,550.218
trans-gamma-chlordane,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,409.782
triamcinolone acetonide,O=C\1\C=C5/[C@@](/C=C/1)(C)[C@]2(F)[C@H]([C@H]3[C@](C[C@@H]2O)([C@@]4(OC(O[C@@H]4C3)(C)C)C(=O)CO)C)CC5,434.504
